MNEMONIC,OPCODE,/d,+r,EQIV,KeepOV,Op1_t,Op2_t,Imm3,Read1,Read2,R1->1,R2->2,R2->reg,Scale_OV,Out_reg,Imm_val
ROL,D1,0,,ROT,1,r/m,cst,,1,1,1,,,,,1
ROL,D2,0,,ROT,,r/m8,CL,,1,1,1,,,,,
ROL,D3,0,,ROT,1,r/m,CL,,1,1,1,,,,,
ROL,C0,0,,ROT,,r/m8,imm8,,1,1,1,,,,,
ROL,C1,0,,ROT,1,r/m,imm8,,1,1,1,,,,,
ROR,D0,1,,ROT,,r/m8,cst,,1,1,1,,,,,1
ROR,D1,1,,ROT,1,r/m,cst,,1,1,1,,,,,1
ROR,D2,1,,ROT,,r/m8,CL,,1,1,1,,,,,
ROR,D3,1,,ROT,1,r/m,CL,,1,1,1,,,,,
ROR,C0,1,,ROT,,r/m8,imm8,,1,1,1,,,,,
ROR,C1,1,,ROT,1,r/m,imm8,,1,1,1,,,,,
RET,C3,,,RET,,,,,,,,,,,,
RET,CB,,,RET,,,,,,,,,,,,
RET,C2,,,RET,,imm16,,,1,,,,,,,
RET,CA,,,RET,,imm16,,,1,,,,,,,
SAHF,9E,,,SAHF,,AH,,,1,,,,,,,
SAL,D0,4,,SHFT,,r/m8,cst,,1,1,1,,,,,1
SAL,D1,4,,SHFT,1,r/m,cst,,1,1,1,,,,,1
SAL,D2,4,,SHFT,,r/m8,CL,,1,1,1,,,,,
SAL,D3,4,,SHFT,1,r/m,CL,,1,1,1,,,,,
SAL,C0,4,,SHFT,,r/m8,imm8,,1,1,1,,,,,
SAL,C1,4,,SHFT,1,r/m,imm8,,1,1,1,,,,,
SAR,D0,7,,SHFT,,r/m8,cst,,1,1,1,,,,,1
SAR,D1,7,,SHFT,1,r/m,cst,,1,1,1,,,,,1
SAR,D2,7,,SHFT,,r/m8,CL,,1,1,1,,,,,
SAR,D3,7,,SHFT,1,r/m,CL,,1,1,1,,,,,
SAR,C0,7,,SHFT,,r/m8,imm8,,1,1,1,,,,,
SAR,C1,7,,SHFT,1,r/m,imm8,,1,1,1,,,,,
SHR,D0,5,,SHFT,,r/m8,cst,,1,1,1,,,,,1
SHR,D1,5,,SHFT,1,r/m,cst,,1,1,1,,,,,1
SHR,D2,5,,SHFT,,r/m8,CL,,1,1,1,,,,,
SHR,D3,5,,SHFT,1,r/m,CL,,1,1,1,,,,,
SHR,C0,5,,SHFT,,r/m8,imm8,,1,1,1,,,,,
SHR,C1,5,,SHFT,1,r/m,imm8,,1,1,1,,,,,
SBB,1C,,,SBB,,AL,imm8,,1,1,1,,,,,
SBB,1D,,,SBB,1,A,imm,,1,1,1,,,,,
SBB,80,3,,SBB,,r/m8,imm8,,1,1,1,,,,,
SBB,81,3,,SBB,1,r/m,imm,,1,1,1,,,,,
SBB,83,3,,SBB,1,r/m,imm8,,1,1,1,,,,,
SBB,18,,,SBB,,r/m8,r8,,1,1,1,,,,,
SBB,19,,,SBB,1,r/m,r,,1,1,1,,,,,
SBB,1A,,,SBB,,r8,r/m8,,1,1,1,,,,,
SBB,1B,,,SBB,1,r,r/m,,1,1,1,,,,,
SCAS,AE,,,SCAS,,m8,AL,,1,1,,,,,,
SCAS,AF,,,SCAS,1,m,A,,1,1,,,,,,
SETO,0F90,,,SETcc,,r/m8,,,1,,1,,,,,
SETNO,0F91,,,SETcc,,r/m8,,,1,,1,,,,,
SETC,0F92,,,SETcc,,r/m8,,,1,,1,,,,,
SETNC,0F93,,,SETcc,,r/m8,,,1,,1,,,,,
SETZ,0F94,,,SETcc,,r/m8,,,1,,1,,,,,
SETNE,0F95,,,SETcc,,r/m8,,,1,,1,,,,,
SETBE,0F96,,,SETcc,,r/m8,,,1,,1,,,,,
SETA,0F97,,,SETcc,,r/m8,,,1,,1,,,,,
SETS,0F98,,,SETcc,,r/m8,,,1,,1,,,,,
SETNS,0F99,,,SETcc,,r/m8,,,1,,1,,,,,
SETP,0F9A,,,SETcc,,r/m8,,,1,,1,,,,,
SETNP,0F9B,,,SETcc,,r/m8,,,1,,1,,,,,
SETL,0F9C,,,SETcc,,r/m8,,,1,,1,,,,,
SETNL,0F9D,,,SETcc,,r/m8,,,1,,1,,,,,
SETLE,0F9E,,,SETcc,,r/m8,,,1,,1,,,,,
SETG,0F9F,,,SETcc,,r/m8,,,1,,1,,,,,
SGDT,0F01,0,,SGDT,1,m,,,1,,1,,,,,
SIDT,0F01,1,,SGDT,1,m,,,1,,1,,,,,
SHLD,0FA4,,,SHD,1,r/m,r,imm8,1,1,1,,,,,
SHLD,0FA5,,,SHD,1,r/m,r,,1,1,1,,,,,
SHRD,0FAC,,,SHD,1,r/m,r,imm8,1,1,1,,,,,
SHRD,0FAD,,,SHD,1,r/m,r,,1,1,1,,,,,
SLDT,0F00,0,,SLDT,,r/m16,,,,,1,,,,,
SMSW,0F01,4,,SMSW,,r/m16,,,,,1,,,,,
STC,F9,,,STC,,,,,,,,,,,,
STD,FD,,,STD,,,,,,,,,,,,
STI,FB,,,STI,,,,,,,,,,,,
STOS,AA,,,STOS,,m8,,,1,,,,,,,
STOS,AB,,,STOS,1,m,,,1,,,,,,,
STR,0F00,1,,STR,,r/m16,,,,,1,,,,,
SUB,2C,,,SUB,,AL,imm8,,1,1,1,,,,,
SUB,2D,,,SUB,1,A,imm,,1,1,1,,,,,
SUB,80,5,,SUB,,r/m8,imm8,,1,1,1,,,,,
SUB,81,5,,SUB,1,r/m,imm,,1,1,1,,,,,
SUB,83,5,,SUB,1,r/m,imm,,1,1,1,,,,,
SUB,28,,,SUB,,r/m8,r8,,1,1,1,,,,,
SUB,29,,,SUB,1,r/m,r,,1,1,1,,,,,
SUB,2A,,,SUB,,r8,r/m8,,1,1,1,,,,,
SUB,2B,,,SUB,1,r,r/m,,1,1,1,,,,,
TEST,A8,,,TEST,,AL,imm8,,1,1,1,,,,,
TEST,A9,,,TEST,1,A,imm,,1,1,1,,,,,
TEST,F6,0,,TEST,,r/m8,imm8,,1,1,1,,,,,
TEST,F7,0,,TEST,1,r/m,imm,,1,1,1,,,,,
TEST,84,,,TEST,,r/m8,r8,,1,1,1,,,,,
TEST,85,,,TEST,1,r/m,r,,1,1,1,,,,,
VERR,0F00,4,,VERR,,r/m16,,,1,,,,,,,
VERW,0F00,5,,VERR,,r/m16,,,1,,,,,,,
WAIT,9B,,,WAIT,,,,,,,,,,,,
XCHG,90,,1,XCHG,1,A,r,,1,1,1,1,,,,
XCHG,86,,,XCHG,,r/m8,r8,,1,1,1,1,,,,
XCHG,87,,,XCHG,1,r/m,r,,1,1,1,1,,,,
XLAT,D7,,,XLAT,1,AL,B,,1,1,1,,,,,
XOR,34,,,XOR,,AL,imm8,,1,1,1,,,,,
XOR,35,,,XOR,1,A,imm,,1,1,1,,,,,
XOR,80,6,,XOR,,r/m8,imm8,,1,1,1,,,,,
XOR,81,6,,XOR,1,r/m,imm,,1,1,1,,,,,
XOR,30,,,XOR,,r/m8,r8,,1,1,1,,,,,
XOR,31,,,XOR,1,r/m,r,,1,1,1,,,,,
XOR,32,,,XOR,,r8,r/m8,,1,1,1,,,,,
XOR,33,,,XOR,1,r,r/m,,1,1,1,,,,,
MOV,0F20,,,MOV,,r32,Creg,,,1,1,,,,,
MOV,0F22,,,MOV,,Creg,r32,,,1,1,,,,,
